W/C,Size(mm),A/C,UCS(mpa),Permeability(mm/s)
0.25,3.5,2.5,15.3,0.62
0.25,3.5,3,14.2,0.89
0.25,3.5,3.5,13.1,1.42
0.25,3.5,4,11.8,1.93
0.25,3.5,4.5,10.7,2.31
0.3,3.5,2.5,16.2,0.97
0.3,3.5,3,15.1,1.08
0.3,3.5,3.5,13.9,1.86
0.3,3.5,4,12.6,2.45
0.3,3.5,4.5,11.6,2.75
0.35,3.5,2.5,14.4,0.63
0.35,3.5,3,13.4,0.82
0.35,3.5,3.5,12.1,1.38
0.35,3.5,4,10.8,1.92
0.35,3.5,4.5,9.9,2.31
0.4,3.5,2.5,12.5,0.44
0.4,3.5,3,11.4,0.67
0.4,3.5,3.5,10.2,1.13
0.4,3.5,4,8.7,1.61
0.4,3.5,4.5,7.7,1.98
0.45,3.5,2.5,10.7,0.12
0.45,3.5,3,9.6,0.38
0.45,3.5,3.5,8.5,0.71
0.45,3.5,4,6.9,1.23
0.45,3.5,4.5,6.1,1.58
0.5,3.5,2.5,9.5,0.1
0.5,3.5,3,8.1,0.2
0.5,3.5,3.5,6.2,0.5
0.5,3.5,4,5.5,1.1
0.5,3.5,4.5,5,1.21
0.25,7.5,2.5,29.5,1.19
0.25,7.5,3,28.4,1.36
0.25,7.5,3.5,27.2,2.06
0.25,7.5,4,25.9,2.84
0.25,7.5,4.5,24.8,3.08
0.3,7.5,2.5,30,1.63
0.3,7.5,3,28.8,1.82
0.3,7.5,3.5,27.9,2.61
0.3,7.5,4,26.5,3.39
0.3,7.5,4.5,25.6,3.64
0.35,7.5,2.5,27.1,0.98
0.35,7.5,3,25.8,1.16
0.35,7.5,3.5,25,1.88
0.35,7.5,4,23.9,2.67
0.35,7.5,4.5,22.8,2.88
0.4,7.5,2.5,25.5,0.68
0.4,7.5,3,24.2,0.89
0.4,7.5,3.5,23.3,1.51
0.4,7.5,4,22.2,2.16
0.4,7.5,4.5,21.1,2.4
0.45,7.5,2.5,22.8,0.29
0.45,7.5,3,21.6,0.52
0.45,7.5,3.5,20.6,1.02
0.45,7.5,4,19.5,1.54
0.45,7.5,4.5,18.4,1.85
0.5,7.5,2.5,20.1,0.19
0.5,7.5,3,19.5,0.38
0.5,7.5,3.5,18,0.95
0.5,7.5,4,16.9,1.13
0.5,7.5,4.5,16.1,1.35
0.25,13,2.5,19.4,2.26
0.25,13,3,18.4,2.41
0.25,13,3.5,17.1,3
0.25,13,4,15.7,3.46
0.25,13,4.5,14.6,3.83
0.3,13,2.5,20.1,2.43
0.3,13,3,19.4,2.59
0.3,13,3.5,17.8,3.17
0.3,13,4,16.4,3.74
0.3,13,4.5,15.3,4.07
0.35,13,2.5,17.1,2.12
0.35,13,3,16.1,2.28
0.35,13,3.5,14.7,2.87
0.35,13,4,13.5,3.35
0.35,13,4.5,12.4,3.72
0.4,13,2.5,15.2,1.59
0.4,13,3,14.2,1.72
0.4,13,3.5,13,2.38
0.4,13,4,11.6,2.97
0.4,13,4.5,10.6,3.34
0.45,13,2.5,12.9,1.08
0.45,13,3,11.9,1.22
0.45,13,3.5,10.5,1.94
0.45,13,4,9.2,2.56
0.45,13,4.5,8.1,2.9
0.5,13,2.5,10.5,0.95
0.5,13,3,10,1.01
0.5,13,3.5,9.1,1.35
0.5,13,4,7.5,2.1
0.5,13,4.5,6.9,2.46
