index,Date,product_group,dispatches_SellIn,orders_SellIn,SellOut,promo,hyp_promo,type_promo_1,type_promo_2,sin_dayofyear,cos_dayofyear,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9
2,2016-08-07,Product_04,3976,3976,0,0.0,0.0,0.0,0.0,-0.6016240632249227,-0.7987793728863648,-0.86162811859991,-0.14650766761493364,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986
8,2016-08-07,Product_11,363,363,0,0.0,0.0,0.0,0.0,-0.6016240632249227,-0.7987793728863648,-0.04507753448445021,-2.0978828234005286e-05,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643
11,2016-08-07,Product_17,485,485,0,0.0,0.0,0.0,0.0,-0.6016240632249227,-0.7987793728863648,-0.09402865432783972,-0.00019040634951582525,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831
20,2016-08-07,Product_32,224,224,0,0.0,0.0,0.0,0.0,-0.6016240632249227,-0.7987793728863648,-0.1718605253866101,-0.0011625969242055978,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932
30,2016-08-14,Product_04,8845,8845,3752,71.9,0.0,0.0,0.0,-0.6932812268869771,-0.7206671495538615,-0.86162811859991,-0.14650766761493364,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986
36,2016-08-14,Product_11,605,605,301,0.2,0.0,0.0,0.0,-0.6932812268869771,-0.7206671495538615,-0.04507753448445021,-2.0978828234005286e-05,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643
40,2016-08-14,Product_17,321,321,393,6.1000000000000005,0.0,0.0,0.0,-0.6932812268869771,-0.7206671495538615,-0.09402865432783972,-0.00019040634951582525,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831
50,2016-08-14,Product_32,366,366,465,3.0,0.0,0.0,0.0,-0.6932812268869771,-0.7206671495538615,-0.1718605253866101,-0.0011625969242055978,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932,-0.014135222609029932
61,2016-08-21,Product_04,3475,3475,3578,71.60000000000002,0.0,0.0,0.0,-0.7748840413670406,-0.6321034111873488,-0.86162811859991,-0.14650766761493364,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986,-0.3552958288630986
67,2016-08-21,Product_11,181,181,290,0.2,0.0,0.0,0.0,-0.7748840413670406,-0.6321034111873488,-0.04507753448445021,-2.0978828234005286e-05,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643,-0.0009724576356642643
71,2016-08-21,Product_17,623,623,345,5.5,0.0,0.0,0.0,-0.7748840413670406,-0.6321034111873488,-0.09402865432783972,-0.00019040634951582525,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831,-0.004231270828066831
81,2016-08-21,Product_32,328,328,639,11.2,61.84971098265896,1.0,1.0,-0.7748840413670406,-0.6321034111873488,-0.2766290936197483,-0.001871332190243372,-0.022752251045742317,-0.022752251045742317,-0.022752251045742317,-0.022752251045742317,-0.022752251045742317,-0.022752251045742317,-0.022752251045742317,-0.022752251045742317
