Store,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,Promo2,Competition
45,2015-07-31,6301,442,1,1,0,1,d,a,9710.0,0,1.0
45,2015-07-30,6063,445,1,1,0,1,d,a,9710.0,0,1.0
45,2015-07-29,5341,387,1,1,0,1,d,a,9710.0,0,1.0
45,2015-07-28,5504,365,1,1,0,1,d,a,9710.0,0,1.0
45,2015-07-27,7450,500,1,1,0,1,d,a,9710.0,0,1.0
45,2015-07-26,0,0,0,0,0,0,d,a,9710.0,0,1.0
45,2015-07-25,5828,474,1,0,0,0,d,a,9710.0,0,1.0
45,2015-07-24,4906,365,1,0,0,0,d,a,9710.0,0,1.0
45,2015-07-23,4456,391,1,0,0,0,d,a,9710.0,0,1.0
45,2015-07-22,4122,342,1,0,0,0,d,a,9710.0,0,1.0
45,2015-07-21,4048,319,1,0,0,0,d,a,9710.0,0,1.0
45,2015-07-20,4571,363,1,0,0,0,d,a,9710.0,0,1.0
45,2015-07-19,0,0,0,0,0,0,d,a,9710.0,0,1.0
45,2015-07-18,6496,513,1,0,0,0,d,a,9710.0,0,1.0
45,2015-07-17,5420,426,1,1,0,0,d,a,9710.0,0,1.0
45,2015-07-16,6589,449,1,1,0,0,d,a,9710.0,0,1.0
45,2015-07-15,4743,353,1,1,0,0,d,a,9710.0,0,1.0
45,2015-07-14,5812,427,1,1,0,0,d,a,9710.0,0,1.0
45,2015-07-13,7836,504,1,1,0,0,d,a,9710.0,0,1.0
45,2015-07-12,0,0,0,0,0,0,d,a,9710.0,0,1.0
45,2015-07-11,5350,420,1,0,0,0,d,a,9710.0,0,1.0
45,2015-07-10,4765,393,1,0,0,0,d,a,9710.0,0,1.0
45,2015-07-09,4006,344,1,0,0,0,d,a,9710.0,0,1.0
45,2015-07-08,4278,330,1,0,0,0,d,a,9710.0,0,1.0
45,2015-07-07,4330,345,1,0,0,0,d,a,9710.0,0,1.0
45,2015-07-06,4976,413,1,0,0,0,d,a,9710.0,0,1.0
45,2015-07-05,0,0,0,0,0,0,d,a,9710.0,0,1.0
45,2015-07-04,5752,442,1,0,0,0,d,a,9710.0,0,1.0
45,2015-07-03,6517,447,1,1,0,0,d,a,9710.0,0,1.0
45,2015-07-02,5464,399,1,1,0,0,d,a,9710.0,0,1.0
45,2015-07-01,5621,399,1,1,0,0,d,a,9710.0,0,1.0
45,2015-06-30,6372,417,1,1,0,0,d,a,9710.0,0,1.0
45,2015-06-29,8569,546,1,1,0,0,d,a,9710.0,0,1.0
45,2015-06-28,0,0,0,0,0,0,d,a,9710.0,0,1.0
45,2015-06-27,6057,471,1,0,0,0,d,a,9710.0,0,1.0
45,2015-06-26,4449,361,1,0,0,0,d,a,9710.0,0,1.0
45,2015-06-25,4057,340,1,0,0,0,d,a,9710.0,0,1.0
45,2015-06-24,3624,276,1,0,0,0,d,a,9710.0,0,1.0
45,2015-06-23,3313,282,1,0,0,0,d,a,9710.0,0,1.0
45,2015-06-22,4043,341,1,0,0,0,d,a,9710.0,0,1.0
45,2015-06-21,0,0,0,0,0,0,d,a,9710.0,0,1.0
45,2015-06-20,5313,447,1,0,0,0,d,a,9710.0,0,1.0
45,2015-06-19,5888,449,1,1,0,0,d,a,9710.0,0,1.0
45,2015-06-18,5481,429,1,1,0,0,d,a,9710.0,0,1.0
45,2015-06-17,6129,437,1,1,0,0,d,a,9710.0,0,1.0
45,2015-06-16,6190,435,1,1,0,0,d,a,9710.0,0,1.0
45,2015-06-15,8196,548,1,1,0,0,d,a,9710.0,0,1.0
45,2015-06-14,0,0,0,0,0,0,d,a,9710.0,0,1.0
45,2015-06-13,5541,460,1,0,0,0,d,a,9710.0,0,1.0
45,2015-06-12,4546,368,1,0,0,0,d,a,9710.0,0,1.0
45,2015-06-11,4285,338,1,0,0,0,d,a,9710.0,0,1.0
45,2015-06-10,4449,337,1,0,0,0,d,a,9710.0,0,1.0
45,2015-06-09,3795,307,1,0,0,0,d,a,9710.0,0,1.0
45,2015-06-08,5275,400,1,0,0,0,d,a,9710.0,0,1.0
45,2015-06-07,0,0,0,0,0,0,d,a,9710.0,0,1.0
45,2015-06-06,5876,478,1,0,0,0,d,a,9710.0,0,1.0
45,2015-06-05,7717,576,1,1,0,0,d,a,9710.0,0,1.0
45,2015-06-04,0,0,0,1,a,0,d,a,9710.0,0,1.0
45,2015-06-03,7892,576,1,1,0,0,d,a,9710.0,0,1.0
45,2015-06-02,5697,401,1,1,0,0,d,a,9710.0,0,1.0
45,2015-06-01,8022,528,1,1,0,0,d,a,9710.0,0,1.0
45,2015-05-31,0,0,0,0,0,0,d,a,9710.0,0,1.0
45,2015-05-30,6462,480,1,0,0,0,d,a,9710.0,0,1.0
45,2015-05-29,5799,421,1,0,0,0,d,a,9710.0,0,1.0
45,2015-05-28,4377,365,1,0,0,0,d,a,9710.0,0,1.0
45,2015-05-27,3934,319,1,0,0,0,d,a,9710.0,0,1.0
45,2015-05-26,4488,365,1,0,0,0,d,a,9710.0,0,1.0
45,2015-05-25,0,0,0,0,a,0,d,a,9710.0,0,1.0
45,2015-05-24,0,0,0,0,0,0,d,a,9710.0,0,1.0
45,2015-05-23,5615,491,1,0,0,0,d,a,9710.0,0,1.0
45,2015-05-22,6040,447,1,1,0,0,d,a,9710.0,0,1.0
45,2015-05-21,5418,420,1,1,0,0,d,a,9710.0,0,1.0
45,2015-05-20,5302,388,1,1,0,0,d,a,9710.0,0,1.0
45,2015-05-19,6010,421,1,1,0,0,d,a,9710.0,0,1.0
45,2015-05-18,6494,460,1,1,0,0,d,a,9710.0,0,1.0
45,2015-05-17,0,0,0,0,0,0,d,a,9710.0,0,1.0
45,2015-05-16,5506,423,1,0,0,0,d,a,9710.0,0,1.0
45,2015-05-15,5105,427,1,0,0,0,d,a,9710.0,0,1.0
45,2015-05-14,0,0,0,0,a,0,d,a,9710.0,0,1.0
45,2015-05-13,5769,499,1,0,0,0,d,a,9710.0,0,1.0
45,2015-05-12,3621,323,1,0,0,0,d,a,9710.0,0,1.0
45,2015-05-11,3953,330,1,0,0,0,d,a,9710.0,0,1.0
45,2015-05-10,0,0,0,0,0,0,d,a,9710.0,0,1.0
45,2015-05-09,6929,560,1,0,0,0,d,a,9710.0,0,1.0
45,2015-05-08,6026,446,1,1,0,0,d,a,9710.0,0,1.0
45,2015-05-07,5732,433,1,1,0,0,d,a,9710.0,0,1.0
45,2015-05-06,5344,376,1,1,0,0,d,a,9710.0,0,1.0
45,2015-05-05,4968,378,1,1,0,0,d,a,9710.0,0,1.0
45,2015-05-04,7156,467,1,1,0,0,d,a,9710.0,0,1.0
